A,B,C,D
Jason Michael Carroll,Waitin' In The Country,No Good In Goodbye,2007
Sivuca,Samba Nouvelle Vague,Copacabana,0
4 Skins,Singles And Rarities,A.C.A.B. (Bumper Sessions),0
Mario Telles,Mario Telles,Nanã,1962
Michael Jackson,Hello World - The Motown Solo Collection,I Wanna Be Where You Are,1972
The Katies,The Katies,Tappin' Out (LP Version),0
The Shangri-Las,100 Love Evergreen,Remember (Walkin' In the Sand),1964
Eddie Calvert,Memories Of You,Tenderly,0
The Chi-Lites,Greatest Hits Live,Intro,0
The Scare,Chivalry,NOT IN LOVE,0
Django Asül,Hardliner,Pränatalabhärtung,2004
Coolio Da Unda Dogg,Cognito Presents That's My Mic,Do Or Die,0
Walter Trout,Live,Earrings on the Table,1992
The Wicklows,Country 'n' Irish - 20 All Time Favourites,Dirty Ol' Town,0
DJ Godfather,Live in Australia,Night on William Street,0
Abbott & Chambers,Never After,Never After,0
Electrostatic,Awake Alone,Today,0
Big Rich featuring J. Stalin_ Aristotle,Demolition Men Present: Block Tested Hood Approved,Imaginary Gangsters,0
Arkona,Lepta,Epilogue,0
Mariah Carey,Mariah Carey Mtv Unplugged Ep,Someday,1990
Bally Sagoo,Ragga Muffin Mix 1991,Hey Jamalo ((Def Mix)),0
Heaven 17,The Remix Collection,(We Don't Need This) Fascist Groove Thang (Rapino Club Mix),2009
Gran Coquivacoa,Gaiton N°5,Tamborera No. 6,0
Helmet,Unsung: The Best Of Helmet 1991-1997,Give It,1992
Quinteto Violado,Canta Geraldo Vandré,Vem_ Vem,0
Mr Lab!,Post Industrial Ceremony,Would You Like,2008
Charles Aznavour,C'est Ça,Tant Que L'on S'aimera,0
Gertrudis,Teta,Quitxalla,2003
Dax Riggs,We Sing of Only Blood or Love,Radiation Blues,2007
George Lopez,Tall_ Dark & Chicano,Vibrators,2009
Alice Stuart,All The Good Times,Bad Girl,0
Edmond Leung,Motclub 903 Fa Yuan Di Du Le Le Edmond Leung Yin Yue Hui,Ai Hen Jian Dan,0
Twenty 4 Seven,Best of,Take Your Chance,0
Jason & The Scorchers,Fervor / Lost & Found,Help There's A Fire,1983
Mithotyn,King of the Distant Forest,On Misty Pathways,1998
Corderoy,Rock Guitar,Rock Guitar,0
Lupe Fiasco feat. GemStones and Graham Burris,Superstar,Dumb It Down (Live From Chicago),2007
Joi,One And One Is One,Oh My People,0
Rainer Bielfeldt,Alles nur ein Traum,Das große Segel,0
Marc Perrone,Voyages,Serenade valse,0
Leslie Mendelson,Swan Feathers,Turn It Over (Album Version),2009
Creedence Clearwater Revisited,Recollection/Live,Proud mary,1998
Entre Ríos,Onda,Altas Horas,2005
Kekele,Congo Life,Affaire Mokuwa,2005
Usher featuring Jermaine Dupri,Here I Stand (Deluxe Version),Chivalry,0
Gail Davies,What Can I Say,Following You Around (Album Version),0
DCX,Hold Me,Hold Me,2008
Big Daddy Rick,Rough Electro,Pac's Break,0
Claire Hamill,Love In The Afternoon,Japanese Lullaby,0
Elvenking,Wyrd,A Fiery Stride (Ltd. Edition Bonus),2004
Karen Peck And New River,The Best Of Karen Peck And New River,My God Will Always Be Enough,2000
Memphis Minnie,Memphis Minnie Vol. 5 (1940-1941),Nothing In Rambling,1995
Corb Lund,Losin' Lately Gambler,Horse Doctor_ Come Quick,0
John Brown,Burbstrumentals_ Vol. 1,The Scenic Route,0
Mind Furniture,Hoop of Flame,Hoop of Flame (IV. Glimpse of a Chance),0
Percy Mayfield,The Birth of R&B,Please Send Me Someone To Love,1950
Chico Hamilton,Trio! Live @ Artpark,Denise,0
Orquesta Sublime,Sabor A Cuba,Son Los Años,0
The Mystic Moods Orchestra,Stormy Weekend,Visions,0
VHS Or Beta,The Melting Moon,New Day Rising,2004
A Tribe Called Quest,The Best Of,Like It Like That,1998
Jack Sheldon,Playing For Change,Dear Ann,0
Alice Cooper,LIVE AT MONTREUX,Be My Lover,1971
Ms. Dynamite / Kymani Marley,A Little Deeper,Seed Will Grow,2002
Al Di Meola,Greatest Hits,Bianca's Midnight Lullaby,1980
The Distillers,The Distillers,The Blackest Years (CD only hidden track),2000
Paul Overman,10 Minutes to Relax: Peaceful Retreat,Morning Rain Music by Jorge Alfano,0
Line Renaud,Les Années Chansons,Sept Coeurs,0
Mongo Santamaria,Montreux Heat!,Watermelon Man,1963
ARRESTED DEVELOPMENT,Unplugged,Raining Revolution (Live) (Unplugged),1993
Scott Wesley Brown,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,Pray For Me (One Step Closer Album Version),0
Cliff Edwards/Disney Studio Chorus,Julie Andrews Selects Her Favourite Disney Songs,When You Wish Upon A Star,1991
Gran Coquivacoa_ Neguito Borjas,Clasicos de oro del Gran Coquivacoa,El tuli-tuli,0
Café Quijano,La Extraordinaria Paradoja Del Sonido Quijano,Hablando A Un Cristal,1999
Dobet Gnahoré,Ano Neko,Kakou,1997
Fernando Ortega,This Bright Hour,Don't Let Me Come Home A Stranger (LP Version),1997
Jimmy Witherspoon,Blue Spoon/Spoon In London,Man Don't Cry,0
Amorphis,Tales From The Thousand Lakes,Into Hiding,1994
Les Paul and Mary Ford,Best Of The Capitol Masters - 90th Birthday Edition,I Really Don't Want To Know (1990 Digital Remaster),0
Tammy Wynette,The World Of Tammy Wynette,I Stayed Long Enough,1968
Mr.De',Electrofunk Greatest Hits,Throw,0
The Cure,Concert - The Cure Live,Primary,1981
Sonny James,Capitol Collectors Series,I'll Never Find Another You,1967
Charlie Haden,American Dreams,American Dreams,2002
Walter Wanderley Trio,Hammond Bossa From Brasil (Jazz Club),O Menino Desce O Morro,0
Alexisonfire,Old Crows Young Cardinals,Accept Crime (Album Version),0
The Elders,Racing the Tide,Send a Prayer,0
Charly García,Rock And Roll Yo,Asesíname,2003
Rachel Portman,The Sisterhood of the Traveling Pants 2,The Letters,2008
Apache Indian,Real People,Independent Girl (feat. Malki Singh),0
John Berry,Those Were the Days,Those Were the Days,0
Marga Gomez,Hung Like A Fly,Filumena Fabulosa,0
Crazy Horse,Scratchy: The Reprise Recordings [Includes Liner Notes],Going Home (Album Version),0
Vangelis,Mythodea - Music for the NASA Mission: 2001 Mars Odyssey,Mythodea - Music for the NASA Mission: 2001 Mars Odyssey/Movement 7,0
Marilyn Horne,Handel Edition Volume 4 - Samson_ Messiah & Arias from Rinaldo_ Serse etc,"Rinaldo : Act 3 ""Or la tromba in suon festante"" [Rinaldo]",0
Noah Lewis,Harmonica Blues,Devil In The Wood Pile,2002
Tito Allen,Salsa,Nadie Como Tu,0
BT,Stealth,Korean Waterhole,2005
George Jones,Still The Same Ole Me,Together Alone,0
Roger Reynolds,Process And Passion,Binaural Presentation - Kokoro. Pt. 5,0
LL Cool J,Headsprung,Headsprung,2004
The Sun Harbor's Chorus-Documentary Recordings,Run to Cadence with the U.S. Navy,We Started Together,0
Gustavo Cerati,Siempre Es Hoy/Reversiones,Tu Cicatriz En Mi,0
Vic Chou,Vic Chou 2001 - 2009 The Best Collection,Ni De Ti Wen,0
Moonspell,Wolfheart (re-issue + Bonus Tracks),Trebraruna,0
The Del McCoury Band,The Family,She's Left Me Again,0
Rickie Lee Jones,Pop Pop,Second Time Around,1991
X-Raided,Psycho Active,Who's Tha Hoe?,0
Antonio Koudele,Kaleidoscope,Once Upon A Time,0
Hank Locklin,I Always Lose,Who Do You Think You're Fooling,0
Fabolous,Street Dreams,Change You or Change Me (Amended Version),2003
L7,Hungry For Stink,Baggage,1994
Perez Prado_ His Orchestra,Doble Contenldo : Perez Prado,Abril en Portugal,0
Kris Kristofferson,To The Bone,Snakebit,0
Mike Vax,Live On The Road,Nada Mas,0
Joe Bonamassa,A New Day Yesterday Live,Jam Intro,0
Marcus Miller,Original Album Classics,Running Through My Dreams,0
The All American Rejects,Meet The Robinsons Original Soundtrack (French Version),The Future Has Arrived,2007
Jim Reeves,Christmas Songbook,May The Good Lord Bless And Keep You,2000
Alexandre Desplat,Afterwards,White Sand,0
The Dells,Standing Ovation - The Very Best Of The Dells,I Just Don't Know What To Do With Myself,0
Claire Hamill,Voices,Awaken - Lark Rise,0
Gian Marco,A Tiempo,Te Mentiría,0
Henri Pousseur,Electronic experimental and microtonal 1953-1999,Racine dix-neuvième de huit-quarts,0
The Who,Sell Out,Sodding About,2009
Fever Ray,Live In Lulea,When I Grow Up,2009
Chris Clark,The Motown Anthology,If You Should Walk Away,1967
Jimi Hendrix,Blues,Once I Had A Woman,1975
Novika,Tricks Of Life,Common Tear,2006
Kako,Kako,Mi Bomba,0
Gene Chandler,Constellation of Rhythm & Blues,I Hate to Be the One to Say,0
Camp Lo,Uptown Saturday Night,Sparkle,1997
Raphaël,Une Nuit Au Châtelet,Caravane (Live 2006),2007
Atomic Rooster,Made In England,Close Your Eyes,1972
Sade,Lovers Live,Paradise,1988
Atman,97 | 07,Lingan,1997
Jenney,Wohin dich die Sehnsucht führt,Ich vermiss dich (Radio Mix),0
Tech N9ne,Killer,Elbow Macaroni (Skit),2008
Terje Lie,Urban Vacation,Crazy Groove,0
Deekline & Wizard,Back Up_ Coming Through Remixed,Baila Baila  Vent Remix,0
Patton Oswalt,Werewolves and Lollipops,You Are Allowed 20 Birthday Parties (Album),2007
Blindman's Sun,Blindman's Sun,The Fugitives,0
Parachute Band,Technicolor,Take Over,0
X-Raided,Bloc Bizniz,Liftoff,0
Soilwork,Sworn To A Great Divide,As The Sleeper Awakes,2007
V V Brown,LEAVE!,LEAVE!,2009
Blingtones,Sonneries Helium XXL,Torero,0
Anthony Cruz,Down By The River,Missing You,0
Beres Hammond Feat. Jah Youth,Strictly The Best Vol. 31,Good Old Dancehall Vibes,0
Daniel Johnston,Is and Always Was,High Horse,2009
Cecilia Bartoli / International Chamber Soloists / Orchestra La Scintilla / Adam Fischer,Maria,Se un mio desir...Cedi al duo!,0
Anthony Watson,I Love Being Single,I Love Being Single (club extended mix),0
Ashton Shepherd,Sounds So Good,Sounds So Good,2008
P.O.D.,Payable On Death,Find My Way (Album Version),0
Confetti's,Greatest Hits,The Sound of C (Acapella),0
Michelle Tumes,Very Best Of Michelle Tumes,Everywhere (Dream Album Version),0
Tommy Makem;The Clancy Brothers,Hearty & Hellish,The Barnyards Of Delgaty (Live),0
Bézu,Bézu au bal musette,La java bleue,0
2 Minutos,Valentin Alsina,Valentin Alsina,0
Nelson Ned,Selecao De Ouro Vol.2,Noche De Ronda,0
Benny Spellman,Benny Spellman Selected Favorites,I Didn't Know,0
Terry Dexter,Listen,Beautiful One,2008
Ray Davies,The Kinks Choral Collection By Ray Davies and The Crouch End Festival Chorus,Picture Book,0
Plies featuring Tank,The Real Testament,You (featuring Tank) (Amended Album Version),2007
Diamond Rexx,Rexx Erected,Fire,0
Poncho Sanchez,El Mejor,El Jamaiquino,0
Hatiras,Arrival,Lost In Space,2001
Funeral For A Friend,Hours,All The Rage (Clean Album Version),2005
Bebo Norman,Bebo Norman,Britney,2008
Marygold,Turned Left But Don't Know If It Was Right,To Leave The Building In Order To See What's Inside,0
Delta 9,No Regrets,In The Void,0
3 Doors Down,3 Doors Down,Who Are You,2008
45 Grave,Only The Good Die Young,Consumers (Album Version),1989
Cactus,Barely Contained - The Studio Sessions,My Lady From South Of Detroit (LP Version),0
Uriah Heep,Easy Livin' - The Singles A's & B's,Son Of A Bitch,2006
Slipknot,Vol. 3: The Subliminal Verses [Special Package],Three Nil (live) (Album Version),0
Yvette Horner,"Vintage World Nº 16 - EPs Collectors ""Yvette Horner And His Accordion",Le Chant Du Tropeau (La Canción Del Rebaño) Vals Tirolés,0
Marc Broussard,When It's Good EP,Going Home (Album Version),0
Randy Stonehill,Can't Buy A Miracle,Can't Buy A Miracle - Album Version,0
Butthole Surfers,Independent Worm Saloon,Tongue,1993
FSTZ,Rogue Limited 01,Quickstep,0
Edgar Bori,Fous les canards,À l'arraché,0
Shout Out Out Out Out,Reintegration Time,How Do I Maintain Pt. II,2009
Alan Silvestri,Lara Croft Tomb Raider: Cradle Of Life,Not Meant To Be Found,0
George Faith,Soulful,If Loving You Is Wrong I Don't Wanna Be Right,1996
Montrose,Inertia,Down,0
TRAM 11,BLACKOUT 00,SUPER RISTA,2000
Future Leaders of the World,LVL IV,Spotlight,2004
Petrol,Dal Fondo,Ogni Silenzio,0
Darden Smith,Circo,Mill Creek,2004
Lifer,Lifer,Breathless,2001
John Wesley Ryles,Greatest Hits,Someday You Will,0
Eno,Island Records Post Punk Box Set - Out Come The Freaks,Baby's On Fire,1973
Messy Marv & D.Z.,Messy Marv Presents: The Shooting Range,Put Some $ On It,0
Mudhoney,Live At El Sol,The Money Will Roll Right In,1991
Barbara Lusch,Surprisingly Good for You,Sentimental Journey,0
Zeromancer,The Death Of Romance,The Death Of Romance,2010
Jesse Malin,Love It To Life,Going Out West,2004
Kenny G,G Force,I've Been Missin' You,1983
Renee Rosnes,Art & Soul,Children's Song No. 3,2000
David Arkenstone,Healing Waters,Reflections,0
The Tall Grass,Look Out Clouds_ Here We Come,Be & Flower,0
Deftones,Around The Fur,Lotion (LP Version),1997
Green and Yellow,Rock Forever,Sweet Child O' Mine (Alternate Mix),0
Paul Glazby,Hostile / pH4,pH4,0
Göteborgs Symfoniker / Neeme Järvi,"Tchaikovsky: Overture ""1812""; Marche slave / Borodin: In the Steppes; Polovtsian Dances / Rimsky-Korsakov: Russian Easter; Capriccio",Russian Easter Festival_ Overture_ Op.36,0
Gregory Isaacs,The Mighty Morwells Presents Gregory Isaacs,Saddam,0
Paso Doble,Versunkener Schatz,König und Königin,0
Deekline & Wizard,Back Up_ Coming Through Remixed,Show Me - Splitloop Remix,0
Tigerstyle,Extended Play,Dhol Vajda,0
impulsonic,NEON,Beats are my Weapons,0
The Jackson Southernaires,Hear Our Prayers O Lord,You've Got A Chance,0
Sophie Tucker,Cabaret Days,You Can't Deep Freeze a Red Hot Mama,0
Krayzie Bone,Thugline Boss (Clean),Let It Burn,0
Bon Jovi,Have A Nice Day,The Radio Saved My Life Tonight,2004
Broadcast,The Future Crayon,Where Youth And Laughter Go,2000
SWAMI featuring Ishmael Morabe,EQUALIZE,Break,2007
J.B.Lenoir,I Feel So Good_ The 1951-54 J.O.B.Sessions,(I Wanna) Play A Little While,0
Super Cat,Don Dada,Oh It's You,1992
Line Renaud,Collection Disques Pathé,Dis_ Oh Dis (Everybody Loves A Lover),0
Mongo Santamaria Orchestra,Arriba!,Federico,1995
Big Maybelle,I've Got A Feelin' - Okeh & Savoy Recordings 1952-56,Tell Me Who,1995
The Paul Butterfield Blues Band,In My Own Dreams,Last Hope's Gone (LP Version ),0
Larissa,Oh wei-wei-Weihnachten,Das Geheimrezept,0
Ray Kane,Punahele,Nanea Kou Maka I Ka Le'ale'a,0
Aerosmith,Aerosmith - Universal Masters Collection,What It Takes,1988
Slipknot,9.0 Live,Everything Ends (Live version) (Album Version),0
Missy Higgins,Steer & More,Breakdown [Live with Brett Dennen & Mason Jennings],0
The Tamperer,Feel It 09,Feel In The House,0
The Twinkle Brothers,Rasta Pon Top,Natty Dread Up Town,0
Bruce Katz Band,Crescent Crawl,Just An Expression,0
Fastball,This Is Where I Belong: The Songs Of Ray Davies And The Kinks,No Return (Album Version),0
André Verchuren,Les Increvable N2,Aubade D'Oiseau,0
Rob Mullins,Jazz Straight Ahead,5 4 3 2 1,0
War Babies,War Babies,Cry Yourself To Sleep,1991
R.E.M.,Murmur - Deluxe Edition,There She Goes Again,1983
Belle & Sebastian,Dear Catastrophe Waitress,Stay Loose,2003
Madonna,Celebration,Into The Groove,1985
Washboard Sam,Washboard Sam Vol. 3 (1938),The Gal I Love,0
Nick Ingman,Bite Harder: The Music De Wolfe Studio Sampler_ Vol. 2,Down Home,1973
Ray Sandoval,A La Naturaleza,Tempestad,0
Daniel Kobialka,World On A String,Singing The Night,0
X-Raided,The Unforgiven_ V.1: ...In The Beginning,Whatever It Took,0
Herb Alpert And The Tijuana Brass,South Of The Border,Adios_ Mi Corazon,1964
Vox Dei,La Biblia,Profecias,1971
Naughty By Nature,Icons,Family Tree,2002
Peggy Lee,Blues Cross Country,St. Louis Blues (24-Bit Digitally Remastered 99),0
J.B. Lenoir,The Very Best Of,The Mojo,2001
Wordsworth feat. Adanita Ross,Mirror Music,Don't Go (Produced by Frequency),2004
John Fogerty,Eye Of The Zombie,Headlines,1986
Kruger,Zhivaya Stal`,Myasorubka,0
Glen Ricks,Fall In Love,Think That Love Was In Your Heart,0
J. Karjalainen & Mustat Lasit,Tunnussävel,Rytmikone,0
Zebra,Strictly The Best Vol. 23,Red,1999
Johnny Keating & All Stars,Ultraviolet,Impromptu,0
The Tragically Hip,90s Rock Gold,Ahead By A Century,1996
Julie Zenatti,Comme Vous,Dans Ces Villes,2004
Fort Minor,The Rising Tied,Introduction (Album Version),2005
Michael Jackson,The Motown Years 50,Girl You're So Together,1984
Ruby Isle,Night Shot - The Remixes,So Damn High (Will Eastman Club Edit),0
Ray Conniff;Billy Butterfield,CONNIFF MEETS BUTTERFIELD               BILLY BUTTERFIELD and RAY CONNIFF,Time On My Hands (You In My Arms),0
Michael Gettel,Places In Time,River Run,1992
Elena,Porelamordedios,Satan Kingsize,0
The King Sisters,Aloha,Hawaiian Wedding Song,0
Stephen Marley,Mind Control,Mind Control,2005
Kirk Franklin with tobyMac & Sonny (of P.O.D.),Hero,Let It Go,0
Ramses,Dans Ma Radio,Les Rats,0
Andy Andy,Tu Me Haces Falta,Vida,0
Agnostic Front,Dead Yuppies,Standing On My Own,2001
Alice Cooper,Zipper Catches Skin,Make That Money (Scrooge's Song) (Album Version),1982
Billy Butler,Sugar Candy Lady,She's Got Me Singing [Bonus Track],0
Symbiosis Orchestra,Live Journeys,Live At Fabbricaeuropa_ Florence 1,0
T-Bone,The Last Street Preacha,Ride Wit Me,2001
Novembre,Materia,Reason,2006
Tinariwen,Aman Iman: Water Is Life,Assouf,2007
Móveis Coloniais de Acaju,Idem,Esquilo não samba,2005
Jim Kweskin_ The Jug Band,See Reverse Side For The Title,Viola Lee,0
Crazy Girl,Get Picked Up,Get Picked Up (Niyi Can't Mix Version 1),0
Percy Faith,The Sound Of Music,Do Re Mi,0
Berlin,Voyeur,Blink Of An Eye (Alternative),2002
California Oranges,Imperial Hearts,Travel Writer,0
Jimmy Wakely,1942-1952 Jimmy Wakely,Standing Outside of Heaven,0
Luciana Souza,The Poems of Elizabeth Bishop and Other Songs,Argument,0
Carlos Nuñez,Carlos Nunez En Concert,Camiño De Santiago,2004
Sleepy D,Sleepy F%#&in' D,Sleepy F%#&in' D,0
Java,Java Sur Seine,Hawaï,0
Beyoncé,Crazy In Love,Krazy In Luv,2003
Leon Russell,Retrospective,Out In The Woods,1976
Eddie Cano,Here is Fabulous Eddie Cano,Teach Me Tonight (Album Version),0
Information Society,Don't Be Afraid,Empty,1997
Kraftwerk,The Man Machine (2009 Digital Remaster),The Man Machine (2009 Digital Remaster),0
Otis Taylor,White African,Hungry People,2001
Lily Allen Featuring Ours,22 (Vingt Deux),22 (Vingt Deux) (Feat. Ours),2009
Atomic Rooster,Heavy Soul,The Rock,1971
Fiona,Strictly The Best Vol. 40,Since I've Been Loving You,0
ÄI-TIEM,Musik für taube Ohren,Äi Jo,2003
Movado,Riddim Driven: Dreaming,Dreaming,0
B.o.B,B.o.B Presents: The Adventures of Bobby Ray,Nothin' On You [feat. Bruno Mars] (Album Version),2010
Sonny Simmons,Staying on the Watch,Metamorphosis,0
The Freedom,Nerosubianco Original Soundtrack,We Say No,0
Angela Dimitriou,14 Megala Tragoudia - Angela Dimitriou,Fotia Sta Savvatovrada (Live),0
Varios Artistas de Rumba,20 Mejores Rumbas Vol.1,Don Toribio,0
Jim Chappell,Laughter At Dawn,Moonlight Boy,0
Little Milton,Stax: The Soul Of Hip-Hop,Packed Up And Took My Mind,1975
Peret,La Salsa De La Rumba,Tócale Las Palmas,1973
Jason & The Scorchers,EMI Years,19th Nervous Breakdown,1998
Alain-François,Alain-François,Minuit sur terre,0
Peter Tosh,Bush Doctor,Stand Firm (2002 Digital Remaster),1978
Del The Funky Homosapien,Future Development,Why You Wanna Get Funky...,1998
Talking Heads,Speaking In Tongues [w/Bonus Tracks & Interactive Booklet],Two Note Swivel (Unfinished Outtake),2005
Justin Timberlake,FutureSex/LoveSounds,Sexy Ladies,2006
Mau Mau,Made In Italy,Balon Combo,1994
Cali,Magique,Betty Et Tommy (Instrumental),0
Pearl Jam,Riot Act,You Are,2002
Charlie Rich,The Complete Hi Recordings of Charlie Rich,Cold_ Cold Heart,0
Bryan Ferry,Mamouna,Don't Want To Know (1999 Digital Remaster),1994
Misty Roses,Monster Zero,Innsmouth Jewelry,0
